Trace Path1
X(mm), Y(mm), Z(mm)
1.46628872466871, 55.88446091429, 22.1999999999999
4.07676840252996, 55.4095276711183, 22.2
6.6684300880715, 54.7987265572813, 22.1999999999999
9.2360498920124, 54.05126881572, 22.1999999999999
11.7740583677934, 53.1663030436733, 22.1999999999999
14.2764905181681, 52.1429785011844, 22.2
16.7369454439116, 50.9805169649484, 22.2
19.1485568015174, 49.6782917636977, 22.2
21.5039750507594, 48.2359124852093, 22.2
23.7953622695025, 46.6533137237587, 22.1999999999999
26.0144000954311, 44.9308461424723, 22.1999999999999
28.1523111259326, 43.0693680591598, 22.2
30.1998938719217, 41.0703357279926, 22.2
32.1475711227162, 38.9358904835075, 22.1999999999999
33.9854513410406, 36.6689409380724, 22.1999999999999
35.7034024737048, 34.2732384788365, 22.2
37.2911373382629, 31.7534443945533, 22.1999999999999
38.7383095326852, 29.1151870752417, 22.2
40.0346186172469, 26.3651078667576, 22.1999999999999
41.169923138698, 23.5108943258464, 22.2
42.1343599092972, 20.5612998066293, 22.2
42.9184678200629, 17.5261485138654, 22.2
43.513314360877, 14.416325378551, 22.2
43.9106229416818, 11.2437503440276, 22.2
44.1028990603105, 8.02133689213271, 22.2
44.0835533444151, 4.76293488524954, 22.1999999999999
43.8470195079071, 1.48325804751994, 22.1999999999999
43.3888653062675, -1.80220334692178, 22.1999999999999
42.7058946494451, -5.07728377292959, 22.2
41.7962391348297, -8.32525670731769, 22.2
40.6594373944538, -11.5289605892153, 22.2
39.2965008082111, -14.6709350452719, 22.2
37.7099643161307, -17.733565761868, 22.2
35.9039212648851, -20.699236234586, 22.2
33.8840414436887, -23.5504844991797, 22.2
31.6575716991988, -26.2701628501957, 22.2
29.2333187644154, -28.8415984848724, 22.2
26.6216141891028, -31.2487529721418, 22.2
23.8342615150807, -33.4763784401638, 22.2
20.8844660949089, -35.5101684010444, 22.2
17.7867482030935, -37.3369011879226, 22.2
14.5568403311233, -38.9445740666824, 22.2
11.2115697876506, -40.3225262008999, 22.2
7.76872793942552, -41.4615487925496, 22.2
4.24692762385858, -42.3539808903333, 22.2
0.665450437304123, -42.9937895497158, 22.2
-2.95591424834627, -43.3766332409528, 22.2
-6.59703656670359, -43.4999076303719, 22.2
-10.2376176689271, -43.3627731024463, 22.2
-13.8573633379182, -42.9661636420949, 22.2
-17.4361575448755, -42.3127769543333, 22.2
-20.9542337892688, -41.407045957957, 22.2
-24.392342095908, -40.2550920474172, 22.2
-27.7319096066546, -38.8646607685279, 22.1999999999999
-30.9551927984741, -37.2450407953054, 22.2
-34.0454194824846, -35.4069673234066, 22.2
-36.9869188885346, -33.3625112068508, 22.1999999999999
-39.7652383143009, -31.12495535578, 22.2
-42.3672450142618, -28.7086600810584, 22.1999999999999
-44.7812122191096, -26.1289192140114, 22.1999999999999
-46.9968884069222, -23.4018089444342, 22.2
-49.0055491901279, -20.5440314054756, 22.2
-50.800031433252, -17.5727550888827, 22.1999999999999
-52.374749471737, -14.5054541976331, 22.2
-53.7256935578809, -11.3597490349051, 22.2
-54.8504109121795, -8.15324948887574, 22.2
-55.7479700032523, -4.9034036027038, 22.2
-56.4189089133087, -1.62735311943605, 22.2
-56.8651688652175, 1.65820223587707, 22.1999999999999
-57.0900141883454, 4.93713012777668, 22.2
-57.0979401803906, 8.19397920311445, 22.2
-56.8945704787411, 11.4140796692361, 22.2
-56.4865456851173, 14.5836298361984, 22.2
-55.8814050894917, 17.6897678296916, 22.2
-55.087463412044, 20.7206279197025, 22.1999999999999
-54.1136845242083, 23.6653811547936, 22.2
-52.9695541211682, 26.5142602393187, 22.2
-51.664953298431, 29.2585688370576, 22.2
-50.2100349348028, 31.8906757257374, 22.2
