"Plot2"
"Time (sec)","Reaction Force1 (newton)"
0,0.000606012802377907
0.04,0.00063077103606267
0.08,0.000653935939764659
0.12,0.000675448996926688
0.16,0.00069525586369929
0.2,0.000713306506218002
0.24,0.000729555326993241
0.28,0.000743961280093528
0.32,0.000756487974831068
0.36,0.000767103767687787
0.4,0.000775781842249606
0.44,0.000782500276947032
0.48,0.000787242100430936
0.52,0.000789995334443667
0.56,0.000790753024077162
0.6,0.000789513255341644
0.64,0.000786279160000542
0.68,0.000781058907659363
0.72,0.000773865685128579
0.76,0.000764717663112588
0.8,0.000753637950308938
0.84,0.000740654535033759
0.88,0.000725800214520838
0.92,0.00070911251207297
0.96,0.000690633582274829
1,0.000670410104506832
1.04,0.000648493165028978
1.08,0.000624938127932512
1.12,0.000599804495285436
1.16,0.000573155756825112
1.2,0.000545059229577681
1.24,0.00051558588780941
1.28,0.000484810183739537
1.32,0.000452809859467503
1.36,0.000419665750589664
1.4,0.000385461582001553
1.44,0.000350283756401535
1.48,0.000314221136030086
1.52,0.000277364818196066
1.56,0.000239807905157011
1.6,0.000201645268934745
1.64,0.000162973311660421
1.68,0.000123889722054375
1.72,8.44932286559377e-05
1.76,4.48833504265757e-05
1.8,5.1601453563554e-06
1.84,3.45760422912194e-05
1.88,7.42248354575267e-05
1.92,0.000113686077849991
1.96,0.000152860086945568
2,0.000191647905797451
2.04,0.000229951553008901
2.08,0.000267674270242771
2.12,0.000304720766641445
2.16,0.000340997459539835
2.2,0.000376412710863296
2.24,0.000410877058613369
2.28,0.000444303442856546
2.32,0.00047660742564522
2.36,0.000507707404315272
2.4,0.000537524817621477
2.44,0.00056598434419003
2.48,0.000593014092786873
2.52,0.000618545783921197
2.56,0.000642514922325351
2.6,0.000664860959875493
2.64,0.000685527448541405
2.68,0.000704462182979116
2.72,0.000721617332406126
2.76,0.000736949561426125
2.8,0.000750420139497954
2.84,0.000761995038772318
2.88,0.000771645020049091
2.92,0.000779345706638064
2.96,0.000785077645936587
3,0.000788826358568527
3.04,0.000790582374960435
3.08,0.000790341259262501
3.12,0.000788103620553908
3.16,0.000783875111304231
3.2,0.000777666413094818
3.24,0.000769493209636187
3.28,0.000759376147149612
3.32,0.000747340782212971
3.36,0.000733417517202619
3.4,0.000717641523494346
3.44,0.000700052652617423
3.48,0.00068069533558619
3.52,0.000659618470663447
3.56,0.00063687529983921
3.6,0.000612523274336811
3.64,0.000586623909486136
3.68,0.000559242629330548
3.72,0.000530448601360087
3.76,0.000500314561788381
3.8,0.000468916631814659
3.84,0.000436334125335
3.88,0.000402649348588536
3.92,0.000367947392244768
3.96,0.00033231591645713
4,0.000295844929425843
4.04,0.000258626560029394
4.08,0.000220754825098979
4.12,0.00018232539192385
4.16,0.000143435336587416
4.2,0.000104182898744649
4.24,6.46672334601735e-05
4.28,2.4988160733986e-05
4.32,1.47540866525427e-05
4.36,5.44591163333627e-05
4.4,9.40266299575841e-05
4.44,0.000133356676551809
4.48,0.000172349905004961
4.52,0.00021090781503783
4.56,0.000248933006023308
4.6,0.000286329423028838
4.64,0.000323002599459502
4.68,0.000358859895688848
4.72,0.00039381073307462
4.76,0.000427766822768268
4.8,0.000460642388740245
4.84,0.000492354384457704
4.88,0.000522822702667242
4.92,0.000551970377752778
4.96,0.000579723780157381
5,0.000606012802377912
5.04,0.000630771036062675
5.08,0.000653935939764663
5.12,0.000675448996926692
5.16,0.000695255863699294
5.2,0.000713306506218006
5.24,0.000729555326993244
5.28,0.000743961280093531
5.32,0.00075648797483107
5.36,0.00076710376768779
5.4,0.000775781842249609
5.44,0.000782500276947034
5.48,0.000787242100430937
5.52,0.000789995334443667
5.56,0.000790753024077161
5.6,0.000789513255341643
5.64,0.00078627916000054
5.68,0.000781058907659361
5.72,0.000773865685128576
5.76,0.000764717663112583
5.8,0.000753637950308933
5.84,0.000740654535033754
5.88,0.000725800214520833
5.92,0.000709112512072964
5.96,0.000690633582274822
6,0.000670410104506825
6.04,0.000648493165028969
6.08,0.000624938127932504
6.12,0.000599804495285427
6.16,0.000573155756825101
